ano,EXPO_TOT_2004,EXPO_AGROP_2004,EXPO_PAMP_2004,EXPO_PECUAR_2004,EXPO_CARNES_2004,EXPO_LECHE_2004,EXPO_LANAS_2004,EXPO_CUEROS_PP_2004,EXPO_AGRIC_2004,EXPO_CEREAL_2004,EXPO_OLEAGI_2004,EXPO_OTAGRIC_2004,EXPO_PESCA_2004,EXPO_INDUST_2004,EXPO_ALIMENT_2004,EXPO_TEXTIL_2004,EXPO_CUEROIND_2004,EXPO_PAPEL_2004,EXPO_CAUCHO_2004,EXPO_QUIMICO_2004,EXPO_COMBIUST_2004,EXPO_HIERRO_2004,EXPO_METNOFERR_2004,EXPO_MAQUIN_2004,EXPO_RESTOIND_2004
1966.00,6333634.22,5675922.71,5563724.31,2220807.38,1145566.34,62187.36,239060.01,575541.23,3450986.58,2579153.98,763762.94,108069.65,4128.75,657711.52,12883.54,1654.99,6829.96,67888.28,2077.04,97591.20,311724.52,44269.74,806.45,75912.46,36073.34
1967.00,5835217.42,5254582.56,5111380.39,2410845.43,1198095.93,69107.85,201213.99,660760.91,2839752.13,1906466.84,794068.11,139217.18,3985.00,580634.86,18538.08,3279.87,6921.54,74308.04,4467.94,100669.08,167739.99,61943.90,1986.35,102067.27,38712.80
1968.00,4558947.98,3685459.82,3371157.68,2277316.06,1028137.99,47745.33,241060.03,725768.04,1403969.22,847878.88,245962.74,310127.60,4174.55,873488.16,25807.22,6520.45,12276.03,105886.36,10769.84,121251.59,256832.23,131592.17,5885.19,143196.80,53470.28
1969.00,5175646.33,4350920.16,4054621.02,2755310.97,1442774.46,58833.60,182534.32,789340.73,1592394.96,1080429.13,218880.92,293084.91,3214.23,824726.17,27209.74,7009.26,17796.64,135684.74,24872.42,150879.31,88739.43,111081.11,6804.84,210312.47,44336.20
1970.00,4184635.10,3341704.72,2996037.07,1441522.79,1242994.34,30082.71,168445.74,803060.27,1888866.22,1260219.64,294294.64,334351.94,11315.71,842930.38,32598.36,16289.54,42923.12,102325.10,21749.05,134120.08,96569.38,113306.75,8194.50,236319.25,38535.26
1971.00,4322811.98,3394203.42,3082926.56,1621378.16,828351.87,54747.81,162433.19,484022.56,1758401.13,1170262.33,291286.07,296852.73,14424.13,928608.56,48219.86,7317.05,17137.52,99350.58,13193.28,128681.86,115212.21,137527.10,4870.73,277896.88,79201.49
1972.00,4298510.74,3289516.91,2954887.33,2033833.42,1221781.30,99317.83,166737.63,467528.82,1232810.26,763813.07,157240.83,311756.35,22873.23,1008993.83,52830.61,9438.89,25828.74,114106.97,16712.47,148240.16,72426.68,143596.40,5783.06,373268.93,46760.92
1973.00,5016985.22,3408794.66,3033972.05,1585888.12,989475.01,87898.55,158413.80,292125.37,1767175.10,1209749.33,238334.59,319091.18,55731.43,1608190.56,77701.30,15627.53,91642.16,163861.27,26719.03,167672.33,54681.09,252798.66,15702.46,669384.50,72400.24
1974.00,4823621.97,2999981.00,2444161.04,935528.07,516346.61,53263.43,92075.27,231389.48,1984893.91,1310043.44,198589.52,476260.95,79559.02,1823640.96,137683.48,7564.56,113106.14,169299.36,25821.38,156176.49,50730.17,187779.36,16720.89,868564.78,90194.35
1975.00,3936228.16,2550241.00,2049386.26,892572.22,467205.41,80058.35,154969.91,170249.32,1583809.90,1001026.10,155787.94,426995.86,73858.89,1385987.16,70933.57,2545.22,42859.16,79654.27,5126.76,141018.64,63290.79,53656.60,6219.45,882279.19,38403.50
